word,lang_code,meanings
お手数ですが,es,"[""Lamentamos las molestias, pero"", ""Nos disculpamos por el inconveniente, pero""]"
お手数ですが,ru,"[""Приносим извинения за неудобства, но"", ""Приносим свои извинения за неудобства, но""]"
お手盛り,es,"[""Porción de mano"", ""porción de la mano""]"
お持て成し,ru,"[""Заботиться"", ""Береги себя"", ""Берегите себя""]"
お握り,ru,"[""Онигири""]"
お支払い方法,es,"[""Método de pago"", ""Forma de pago""]"
お支払い方法,ru,"[""Способ оплаты"", ""Метод оплаты""]"
お昼,ru,"[""Обед"", ""Обедать"", ""Ланч""]"
お時間,es,"[""tiempo"", ""vez"", ""momento""]"
お時間,ru,"[""время"", ""приурочить"", ""времени""]"
お気の毒に,es,"[""Lo siento"", ""perdón"", ""triste""]"
お気の毒に,ru,"[""(разг. см.) きのどく""]"
お疲れ様,es,"[""buen trabajo""]"
お疲れ様,ru,"[""хорошая работа"", ""отличная работа""]"
お皿,ru,"[""тарелка"", ""пластина""]"
お知らせ,ru,"[""уведомление"", ""замечать"", ""обратите внимание""]"
お神輿,es,"[""santuario portátil"", ""altar portátil""]"
お祭り,ru,"[""фестиваль"", ""праздник""]"
お祭り騒ぎ,es,"[""jolgorio"", ""jarana"", ""fiestas""]"
お節,es,"[""Festival"", ""Fiesta"", ""Festivo""]"
お腹の子,es,"[""niño no nacido"", ""niño por nacer""]"
お腹の子,ru,"[""нерожденный ребенок"", ""еще не родившийся ребенок""]"
お菓子,ru,"[""сладости"", ""конфеты""]"
お葬式,es,"[""funeral"", ""fúnebre"", ""entierro""]"
お葬式,ru,"[""похороны"", ""захоронения""]"
お見積もり,es,"[""Cita"", ""Cotizar"", ""Citar""]"
お見積もり,ru,"[""Цитировать"", ""Цитата""]"
お見舞い,ru,"[""симпатия"", ""сострадание""]"
お試しあれ,es,"[""Probar"", ""Intentar"", ""Pruébalo""]"
お試しあれ,ru,"[""Попробуйте"", ""Попробуйте это""]"
お話,es,"[""historia"", ""cuento"", ""relato""]"
お話,ru,"[""история"", ""рассказ""]"
お誕生日,es,"[""cumpleaños"", ""fecha de nacimiento"", ""aniversario""]"
お誕生日,ru,"[""день рождения"", ""рождения""]"
お誕生日おめでとうございます,ru,"[""с днем ​​рождения"", ""с днем рождения""]"
お負けに,es,"[""obsequio (e.g. con una compra)"", ""algo adicional"", ""bonus""]"
お買い得,es,"[""gran valor"", ""excelente valor""]"
お買い得,ru,"[""большое значение"", ""отличное соотношение цены и качества""]"
お邪魔します,ru,"[""я буду тебя беспокоить"", ""Я буду беспокоить тебя""]"
お酒,ru,"[""алкоголь"", ""спирт""]"
お酢,es,"[""vinagre""]"
お酢,ru,"[""уксус"", ""виноград""]"
お金持ち,es,"[""hombre rico"", ""rico hombre""]"
お金持ち,ru,"[""богатый человек"", ""богач""]"
お陰で,es,"[""gracias a (algo o alguien)""]"
お陰様で,ru,"[""Спасибо тебе"", ""Благодаря вам""]"
お願い,ru,"[""пожалуйста"", ""радовать"", ""прошу""]"
お願いいたします,es,"[""Gracias""]"
お願いいたします,ru,"[""Спасибо"", ""Спасибо вам""]"
お願いします,ru,"[""пожалуйста"", ""радовать"", ""прошу""]"
お風呂,ru,"[""ванна"", ""баня""]"
お馴染み,ru,"[""привычный"", ""знакомый"", ""знакомо""]"
かき氷,es,"[""hielo raspado"", ""hielo picado""]"
かき氷,ru,"[""стружка льда"", ""строганный лед""]"
かけ離れる,es,"[""muy separados"", ""lejos""]"
かと言って,es,"[""Sin embargo,""]"
かと言って,ru,"[""Однако,"", ""Тем не менее,""]"
かも知れない,ru,"[""Может быть"", ""Возможно""]"
かも知れません,ru,"[""Может быть"", ""Возможно""]"
か否か,es,"[""O no""]"
か否か,ru,"[""или нет""]"
か如何か,es,"[""o como"", ""o cómo""]"
か如何か,ru,"[""или как""]"
きちっと,ru,"[""Идеальный"", ""Совершенствовать"", ""Идеально""]"
こいつ等,ru,"[""Эти ребята и т. д."", ""Эти парни и т. д.""]"
こう言う,ru,"[""Так"", ""Вот так"", ""Как это""]"
こう言った,es,"[""dijo esto"", ""Dicho esto""]"
こう言った,ru,"[""Сказал это""]"
こちらこそ,ru,"[""пожалуйста""]"
ことが出来る,es,"[""puede hacer"", ""puedo hacerlo""]"
ことが出来る,ru,"[""могу сделать"", ""может сделать""]"
この内,es,"[""de esto"", ""De este""]"
この内,ru,"[""Из этого"", ""Об этом""]"
この外,es,"[""fuera de esto"", ""fuera de este""]"
この外,ru,"[""за пределами этого"", ""вне этого""]"
この頃,es,"[""recientemente"", ""últimamente"", ""hoy en día""]"
こみ上げる,es,"[""bien arriba"", ""bien hasta""]"
これを機に,es,"[""aprovechando esta oportunidad"", ""Tomando esta oportunidad""]"
これを機に,ru,"[""Воспользовавшись этой возможностью"", ""Используя эту возможность""]"
これ等,es,"[""Estos etc"", ""Estos, etc.""]"
ごめん下さい,ru,"[""Пожалуйста, извините меня"", ""Пожалуйста, извини меня.""]"
ご主人,ru,"[""муж"", ""супруг""]"
ご了承ください,es,"[""tenga en cuenta que"", ""nota que""]"
ご了承ください,ru,"[""Обратите внимание, что"", ""заметьте, что""]"
ご協力,ru,"[""сотрудничество"", ""сотрудничества""]"
ご破算,es,"[""Quiebra"", ""Bancarrota"", ""Insolvencia""]"
ご苦労様,ru,"[""Спасибо за ваш тяжелый труд"", ""Спасибо за вашу тяжелую работу""]"
ご褒美,ru,"[""награда"", ""награждать"", ""вознаграждение""]"
ご連絡,es,"[""Contáctenos"", ""Contacta con nosotros""]"
ご連絡,ru,"[""Связаться с нами"", ""Свяжитесь с нами""]"
ご遠慮ください,es,"[""Por favor absténgase de"", ""Por favor abstente de""]"
ご遠慮ください,ru,"[""Пожалуйста, воздержитесь от"", ""Пожалуйста, воздержитесь""]"
ご馳走様,ru,"[""Спасибо за еду"", ""Спасибо за вашу еду""]"
ご馳走様でした,ru,"[""Спасибо за еду."", ""Благодарю за еду""]"
しなやか,ru,"[""Шиная"", ""Шиное""]"
しばしば,es,"[""frecuentemente"", ""una y otra vez"", ""a menudo""]"
しばしば,ru,"[""часто""]"
しめる,es,"[""estrangular"", ""estrechar""]"
しめる,ru,"[""(см.) しめる【湿める】""]"
しゃがむ,ru,"[""приседать"", ""приседание""]"
し続ける,ru,"[""продолжать делать"", ""продолжай делать""]"
し過ぎる,ru,"[""слишком"", ""слишком много"", ""слишком сильно""]"
じゃん拳,es,"[""Puño de piedra, papel o tijera"", ""Puño piedra-papel-tijera""]"
すぐ側,es,"[""justo al lado de"", ""Justo al lado""]"
すぐ側,ru,"[""прямо рядом с"", ""рядом с""]"
すまし顔,es,"[""cara engreída"", ""cara petulante""]"
すまし顔,ru,"[""самодовольное лицо"", ""самодовольное выражение""]"
ずらす,ru,"[""сдвиг"", ""перемещать"", ""смещение""]"
ずらっと,ru,"[""Подряд"", ""В ряд""]"
ずらり,ru,"[""ряд за рядом"", ""ряд за ряд""]"
ずる賢い,ru,"[""хитрость"", ""хитрый"", ""коварный""]"
ずれる,ru,"[""сдвиг"", ""перемещать"", ""смещение""]"
そうこうしている内に,es,"[""Mientras tanto"", ""Entre tanto""]"
そうこうしている内に,ru,"[""В это время"", ""Тем временем"", ""А пока""]"
そう言う,ru,"[""Такая вещь"", ""такие вещи""]"
そう言えば,ru,"[""Если ты так говоришь"", ""если ты так скажешь""]"
そう言った,es,"[""Eso es lo que dije"", ""Eso fue lo que dije""]"
そう言った,ru,"[""Это то, что я сказал"", ""Я это сказал""]"
そこら辺,es,"[""por ahí"", ""por allí""]"
そこら辺,ru,"[""где-то там"", ""там где-то""]"
その上,es,"[""encima de eso"", ""Además de eso""]"
その中,es,"[""dentro de ella"", ""en su interior""]"
その内に,es,"[""de estos ~"", ""(dentro de los ~ ya mencionados"", "")""]"
その様,es,"[""así"", ""Asi""]"
その様,ru,"[""Вот так"", ""Как это""]"
その辺,es,"[""esa zona"", ""Esa área""]"
それ程,es,"[""tanto"", ""eso mucho""]"
それ等,es,"[""Esos etc"", ""Esos etc..""]"
それ等,ru,"[""Те и т. д."", ""Те и др.""]"
そんな中,es,"[""Mientras tanto"", ""Entretanto"", ""Mientras""]"
そんな中,ru,"[""Тем временем"", ""В то же время""]"
たこ焼き,es,"[""Takoyaki""]"
たこ焼き,ru,"[""Такояки"", ""Такаяки""]"
だったら,ru,"[""Если так"", ""Если это так""]"
っ放し,es,"[""Déjalo en paz"", ""déjalo solo""]"
っ放し,ru,"[""Оставь это в покое"", ""Оставьте это в покое""]"
ついて行く,es,"[""seguir"", ""continuación"", ""vigilar""]"
ついて行く,ru,"[""следовать"", ""следить""]"
つぎ込む,es,"[""gastar dinero"", ""pasar dinero""]"
できるだけ早く,ru,"[""как можно скорее"", ""как можно раньше""]"
で御座います,es,"[""ahí estas"", ""Ahí estás""]"
で御座います,ru,"[""Вот ты где"", ""вот и ты""]"
とは言うものの,es,"[""Dicho esto,"", ""dicho eso,""]"
とは限らない,es,"[""No necesariamente"", ""No necesaria""]"
とは限らない,ru,"[""Не обязательно"", ""необязательно""]"
と言うことは,es,"[""Eso significa""]"
と言うことは,ru,"[""Это означает"", ""это значит""]"
と言うことはない,es,"[""Ese no es el caso""]"
と言うことはない,ru,"[""Это не так"", ""это не тот случай""]"
と言うもの,es,"[""esa cosa"", ""eso""]"
と言うもの,ru,"[""Эта штука"", ""эта вещь""]"
と言えば,es,"[""hablando de cual"", ""Hablando de eso""]"
と言えば,ru,"[""Говоря об этом"", ""Кстати о том""]"
と言っても,es,"[""Aunque digo eso"", ""Aunque yo diga eso""]"
と言っても,ru,"[""Хоть я и говорю это"", ""Даже если я говорю это""]"
どうぞ,ru,"[""пожалуйста"", ""радовать"", ""прошу""]"
どうでも良い,es,"[""No me importa"", ""No me interesa""]"
どうでも良い,ru,"[""Мне все равно"", ""меня не волнует""]"
どう言う,ru,"[""Какой"", ""Что это за""]"
どちらかと言うと,es,"[""Bastante"", ""En lugar de"", ""Más bien""]"
どちらかと言うと,ru,"[""Скорее"", ""Вместо""]"
どの様,es,"[""Cómo"", ""De qué manera"", ""Tanto""]"
どの様に,es,"[""cómo"", ""de qué manera"", ""tanto""]"
どの辺,ru,"[""с какой стороны"", ""какая сторона""]"
どれ位,es,"[""cuánto"", ""cuánto cuesta"", ""cuanto""]"
どれ位,ru,"[""сколько?"", ""сколько"", ""насколько""]"
ない,es,"[""muerto""]"
ない,ru,"[""не быть, не иметься"", ""{…で～} не быть, не являться (чем-л.)"", ""(ср.) ないものねだり, なからしめる, なき【無き】, なくもがな, なくなる, なくなす, なくする""]"
ないと行けない,es,"[""no puedo ir sin el"", ""No puedo ir sin él""]"
ないと行けない,ru,"[""я не могу обойтись без этого"", ""Я не могу без этого""]"
ないと行けません,es,"[""no puedo ir sin el"", ""No puedo ir sin él""]"
ないと行けません,ru,"[""я не могу обойтись без этого"", ""Я не могу без этого""]"
なる,es,"[""convertirse en"", ""llegar a ser"", ""ponerse""]"
なる,ru,"[""1) становиться, делаться (кем-чем-л., каким-л.)"", ""превращаться (в кого-что-л.)"", ""2) наступать (о времени)"", ""3) (после гл.:)""]"
によって異なる,es,"[""depende de"", ""dependa""]"
によって異なる,ru,"[""зависит от"", ""зависимости от""]"
に依る,es,"[""Depende de"", ""depende""]"
に依る,ru,"[""Зависит от"", ""Это зависит от""]"
に依ると,es,"[""De acuerdo a"", ""Según"", ""De acuerdo con""]"
に依ると,ru,"[""В соответствии с"", ""Согласно"", ""По словам""]"
に加えて,es,"[""Además de"", ""En adición a"", ""Por añadidura""]"
に加えて,ru,"[""В дополнение к"", ""Помимо""]"
に取って,ru,"[""Возьми это в"", ""Отнесите это в""]"
に向けて,es,"[""hacia"", ""para"", ""tocante""]"
に向けて,ru,"[""к"", ""в направлении""]"
に因って,es,"[""Debido a"", ""Gracias a""]"
に因って,ru,"[""Из-за"", ""В связи с""]"
に対して,es,"[""contra"", ""en contra de"", ""contrapelo""]"
に対して,ru,"[""против"", ""от"", ""напротив""]"
に対する,ru,"[""против"", ""от"", ""напротив""]"
に就いて,es,"[""en la oficina"", ""en el cargo""]"
に就いて,ru,"[""в офисе"", ""в должности""]"
に当たっては,es,"[""cuando se trata de"", ""Cuando se trata""]"
に当たっては,ru,"[""Когда дело доходит до"", ""Когда дело касается""]"
に於いて,es,"[""En"", ""Dentro"", ""Dentro de""]"
に於いて,ru,"[""В"", ""внутри""]"
に於ける,es,"[""en"", ""dentro"", ""dentro de""]"
に於ける,ru,"[""в"", ""внутри""]"
に渡って,es,"[""al otro lado de"", ""en"", ""a través""]"
に渡って,ru,"[""через"", ""по всему""]"
に関して,es,"[""Acerca de"", ""Con respecto a"", ""Respecto a""]"
に関して,ru,"[""Касательно"", ""Что касается"", ""Относительно""]"
に限って,es,"[""solo para"", ""Sólo para""]"
に際して,es,"[""En ocasión de"", ""Con motivo de"", ""con ocasión de""]"
に際して,ru,"[""По случаю"", ""В честь""]"
の度に,es,"[""cada vez"", ""siempre""]"
の度に,ru,"[""каждый раз"", ""всякий раз""]"
はい,es,"[""ceniza"", ""cenizas""]"
ふんだん,ru,"[""Множество"", ""Много""]"
ぶっきら棒,es,"[""palo contundente"", ""palo desafilado""]"
ぶっきら棒,ru,"[""тупая палка"", ""тупая дубинка""]"
ほんの少し,es,"[""solo un poco"", ""sólo un poquito""]"
ほんの少し,ru,"[""совсем немного"", ""немного""]"
まき網,es,"[""red de cerco"", ""cerco""]"
みじん切り,es,"[""picado"", ""cortado""]"
みじん切り,ru,"[""нарезанный"", ""измельченный""]"
めっきり,ru,"[""заметно"", ""значительно""]"
もう一度,es,"[""una vez más"", ""otra vez"", ""Una vez mas""]"
もし,es,"[""si"", ""en caso de"", ""supuesto que""]"
やけに,ru,"[""1) отчаяние"", ""{～になる}, 自暴を起こす приходить в отчаяние"", ""{～に} в отчаянии, с отчаянием""]"
やむを得ない,ru,"[""неизбежный"", ""неотвратимый""]"
やや,es,"[""muy poco"", ""escasamente""]"
やる気,es,"[""Motivación"", ""Incentivación"", ""motivacion""]"
やる気,ru,"[""Мотивация"", ""Мотивировка""]"
ゆうちょ銀行,es,"[""Banco de Correos de Japón"", ""Banco Postal de Japón""]"
ゆうちょ銀行,ru,"[""Почтовый банк Японии"", ""Японский почтовый банк""]"
ような気がする,es,"[""me siento como"", ""siento que""]"
ような気がする,ru,"[""мне кажется"", ""Я чувствую себя как""]"
よくあるご質問,ru,"[""Часто задаваемые вопросы"", ""Частые вопросы""]"
よくある質問,ru,"[""Часто задаваемые вопросы"", ""FAQ""]"
より,ru,"[""скручивание""]"
よろしくお願いいたします,es,"[""Muchas gracias""]"
よろしくお願いいたします,ru,"[""Большое спасибо"", ""Спасибо вам большое""]"
よろしくお願いします,es,"[""gracias""]"
よろしくお願いします,ru,"[""Спасибо""]"
わが国,ru,"[""наша страна"", ""нашей страны""]"
アカデミー賞,ru,"[""премия академии"", ""награда Академии""]"
アクセル,es,"[""acelerador"", ""accelerator (pedal)/gas pedal""]"
アクセル,ru,"[""((сокр. англ.) accelerator) (авт.) педаль газа, педаль акселератора"", ""accelerator (pedal)/gas pedal""]"
アジア人,es,"[""asiático""]"
アラブ,ru,"[""араб"", ""Арабский"", ""Arab/Arab countries""]"
アルバイト,es,"[""trabajo provisional"", ""pluriempleo"", ""trabajo a tiempo parcial"", ""part-time job/side job""]"
アルバイト,ru,"[""((нем.) Arbeit) приработок"", ""работа (гл. обр. о работе нуждающихся студентов)"", ""{～をする} работать (о студентах)"", ""part-time job/side job""]"
アル中,es,"[""alcohólico"", ""alcoholizado"", ""borracho""]"
イケ面,es,"[""cara fría"", ""cara genial""]"
イケ面,ru,"[""крутое лицо"", ""прохладное лицо""]"
オリエンテーション,ru,"[""ориентация"", ""ориентирование"", ""orientation""]"
オープン戦,es,"[""juego abierto"", ""abierto juego""]"
オープン戦,ru,"[""открыть игру"", ""Открытая игра""]"
カラー,es,"[""collar (eng:)"", ""cuello (de una camisa)"", ""color (eng:)"", ""color/colour""]"
カラー,ru,"[""((англ.) colour)"", ""1) цвет"", ""2) (сокр. фото) цветная плёнка"", ""color/colour""]"
カリブ海,ru,"[""Карибский бассейн"", ""Карибы""]"
カード,es,"[""tarjeta (card)"", ""cuajada"", ""requesón (curd)"", ""card (information, filing, etc.)/card (greetings, congratulations, etc.)""]"
カード,ru,"[""((англ.) card) карточка"", ""card (information, filing, etc.)/card (greetings, congratulations, etc.)""]"
カ国,ru,"[""страны"", ""стран""]"
ガラス張り,es,"[""vidriado"", ""glaseado"", ""satinado""]"
ガラス張り,ru,"[""застекленный"", ""глазурованный""]"
キャリア,es,"[""(eng: career) carrera profesional"", ""profesión"", ""career/occupation""]"
キャリア,ru,"[""карьера"", ""карьеру"", ""career/occupation""]"
キリスト教,ru,"[""христианство""]"
クラシック音楽,ru,"[""классическая музыка"", ""классика""]"
クラブ活動,es,"[""actividades del club""]"
クラブ活動,ru,"[""клубная деятельность"", ""деятельность клуба""]"
グアテマラ共和国,es,"[""república de guatemala"", ""república de guatemalteca""]"
グラス,es,"[""(eng: glass"", ""grass) vidrio (eng: o cristal)"", ""(eng: lit hierba"", ""glass (drinking vessel)/glass (material)""]"
グラス,ru,"[""((англ.) glass)"", ""1) стакан"", ""рюмка"", ""2) очки""]"
グローバル化,ru,"[""глобализация"", ""глобальных""]"
ケーソン工法,es,"[""método de cajón"", ""método cajón""]"
ケーソン工法,ru,"[""кессонный метод"", ""кессонный способ""]"
コック,es,"[""(eng: cock) cocinero"", ""gallo"", ""cook/chef""]"
コック,ru,"[""((англ.) cock) кран (напр. водопровода)"", ""II ((голл.) Kok) повар"", ""(мор.) кок"", ""cook/chef""]"
コピー機,es,"[""fotocopiadora"", ""máquina fotocopiadora""]"
コピー機,ru,"[""копировальный аппарат"", ""Копировальная машина""]"
コマーシャル,ru,"[""коммерческий"", ""коммерческая"", ""commercial (TV or radio advertisement)/commercial""]"
コロナ禍,es,"[""Desastre de corona"", ""desastre de la corona""]"
コロナ禍,ru,"[""Корона катастрофа"", ""Коронавирусная катастрофа""]"
コート,es,"[""(eng: coat"", ""court) abrigo"", ""campo deportivo"", ""coat/coating""]"
コート,ru,"[""(см.) クオートI"", ""((англ.) coat) [дамское] пальто"", ""((англ.) court) площадка для [спортивных] игр, корт"", ""coat/coating""]"
コード,es,"[""código (eng: code)"", ""cuerda (eng: cord)"", ""acorde (eng: chord)"", ""code/program""]"
コード,ru,"[""((англ.) code)"", ""1) правила, законоположения"", ""2) код (телеграфный и т. п.)"", ""code/program""]"
ゴール,es,"[""portería"", ""meta"", ""goal (in soccer, hockey, etc.)/basket (in basketball)""]"
ゴール,ru,"[""((англ.) goal) (спорт.)"", ""1) финиш"", ""2) ворота (в футболе)"", ""goal (in soccer, hockey, etc.)/basket (in basketball)""]"
サイン,es,"[""(eng: sign) firma"", ""autógrafo"", ""(eng: lit señal)"", ""autograph/signature""]"
サイン,ru,"[""((англ. сущ.) sign) знак, сигнал"", ""((англ.) sine) (мат.) синус"", ""((от англ. гл.) sign) подпись, автограф"", ""autograph/signature""]"
サイン会,es,"[""sesión de autógrafos"", ""Sesion de autógrafos""]"
サイン会,ru,"[""автограф-сессия"", ""автограф сессия""]"
サイン入り,es,"[""Firmado"", ""firmada""]"
シック,es,"[""(eng: chic) elegante"", ""de moda"", ""chic/stylish""]"
シック,ru,"[""((фр.) chic) шик"", ""chic/stylish""]"
シーア派,es,"[""Chiíta"", ""chiita""]"
シーア派,ru,"[""Шиит"", ""шиитский""]"
シート,es,"[""(eng: seat"", ""sheet) hoja (eng: o lámina)"", ""asiento (eng: butaca)"", ""seat""]"
シート,ru,"[""((англ.) seat) место (напр. в театре)"", ""((англ.) sheet)"", ""1) лист (напр. бумаги)"", ""пластинка""]"
スイッチ,es,"[""interruptor (eng: switch)"", ""llave (de la luz)"", ""switch/points""]"
スイッチ,ru,"[""((англ.) switch) (эл.) выключатель"", ""переключатель"", ""switch/points""]"
スポーツ新聞,es,"[""periódico deportivo"", ""diario deportivo""]"
スポーツ新聞,ru,"[""спортивная газета"", ""спорт газета""]"
スワヒリ語,ru,"[""суахили""]"
セーラー服,es,"[""traje de marinero"", ""traje marinero""]"
ゼミ,ru,"[""Семинар"", ""seminar""]"
ソース,es,"[""(eng: source) procedencia"", ""fuente"", ""sauce/Worcestershire sauce""]"
ソース,ru,"[""((англ.) sauce) соус"", ""((англ.) source) источник"", ""sauce/Worcestershire sauce""]"
ソ連,es,"[""URSS"", ""Unión Soviética""]"
タイミング,ru,"[""время"", ""выбор момента"", ""timing""]"
タイム,es,"[""(eng: time) tiempo"", ""time (for, to do)/time (to finish a race, lap, etc.)""]"
タイム,ru,"[""((англ.) time)"", ""1) время"", ""2) (спорт.) время!"", ""time (for, to do)/time (to finish a race, lap, etc.)""]"
ダイヤ,es,"[""(eng: dyer"", ""diamond) diamante"", ""tintorero"", ""diamond""]"
ダイヤ,ru,"[""((сокр. англ.) diagram)"", ""1) расписание, график"", ""2) диаграмма"", ""diamond""]"
ダウン,ru,"[""вниз"", ""падение"", ""спускать"", ""fall/decrease""]"
ダンプ,ru,"[""свалка"", ""сваливать"", ""сбрасывать"", ""dump/dump truck""]"
ダース,ru,"[""((англ.) dozen) дюжина"", ""dozen""]"
チップ,es,"[""(eng: tip"", ""chip) propina"", ""consejo"", ""tip/gratuity""]"
チップ,ru,"[""((англ.) chip)"", ""1) (вчт.) чип (микросхема)"", ""2) обломок, осколок"", ""tip/gratuity""]"
チョーク,es,"[""tiza"", ""gis"", ""(chalk)"", ""chalk""]"
チョーク,ru,"[""((англ.) chalk) мел[ок]"", ""chalk""]"
テレックス,ru,"[""телекс"", ""текс"", ""telex/teletypewriter exchange""]"
テレビ局,es,"[""estación de televisión"", ""emisora de televisión""]"
テレビ番組,es,"[""programa de televisión"", ""programa de tv""]"
テレビ番組,ru,"[""телешоу"", ""ТВ-шоу""]"
テント,ru,"[""палатка"", ""тент"", ""tent""]"
デザート,es,"[""(eng: dessert) postre"", ""sobremesa"", ""dessert""]"
デザート,ru,"[""((англ.) dessert) десерт"", ""dessert""]"
デパ地下,es,"[""Sótano de grandes almacenes"", ""Sótano de unos grandes almacenes""]"
デパ地下,ru,"[""Подвал универмага""]"
デボン紀,ru,"[""девонский период"", ""девон""]"
デモンストレーション,ru,"[""демонстрация"", ""демонстрант"", ""demonstration/protest""]"
デモ隊,ru,"[""демонстранты"", ""демонстраторы""]"
データ通信,es,"[""comunicación de datos"", ""comunicacion de data""]"
データ通信,ru,"[""передача данных"", ""связь""]"
トラック,es,"[""(eng: truck) camión"", ""camioneta"", ""truck/lorry""]"
トラック,ru,"[""((англ.) track) (спорт.) беговая дорожка, трек"", ""((англ.) truck)"", ""1) грузовик, грузовой автомобиль"", ""truck/lorry""]"
トン,ru,"[""(уст.) 瓲"", ""тонна"", ""(мор.) тоннаж"", ""ton (esp. a metric ton, i.e. 1000 kg)/tonne""]"
ト長調,es,"[""sol mayor"", ""G mayor""]"
